Company.Code	Company	Company.Country	Company.Region	USD.MarketCap
AEE.ZA	African Equity Empowerment Investments Limited	South Africa	Africa	125883711
AHS.CA	Alta Natural Herbs & Supplements Ltd.	Canada	North America	1132028
AKER.NO	Aker ASA Class A	Norway	Europe	2477389488
ALMER.FR	Sapmer SA	France	Europe	89914638
AQUA.RU	Russian Aquaculture PJSC	Russia	Europe	175079461
AQUACHILE.CL	Empresas AquaChile S.A.	Chile	Latin America	581155098
ASIAN.TH	Asian Seafoods Coldstorage Public Co. Ltd.	Thailand	Asia	158729791
ATGR.HR	Atlantic Grupa d.d.	Croatia	Europe	385876988
AUSS.NO	Austevoll Seafood ASA	Norway	Europe	1797135552
AUSTRAC1.PE	Austral Group SAA	Peru	Latin America	119378640
AUSTRALIS.CL	Australis Seafoods S.A.	Chile	Latin America	458063437
AVI.ZA	AVI Limited Class Y	South Africa	Africa	2621398882
BAKKA.NO	Bakkafrost P/F	Norway	Europe	1882705813
BELL.CH	Bell Food Group Ltd	Switzerland	Europe	1860728496
BLUMAR.CL	Blumar S.A.	Chile	Latin America	375788723
BRT.ZA	Brimstone Investment Corporation Limited	South Africa	Africa	279097527
BVT.ZA	Bidvest Group Limited	Namibia	Africa	128189073
CAMANCHACA.CL	Compania Pesquera Camanchaca S.A.	Chile	Latin America	274340338
CAN.VN	HaLong Canned Food JSC	Vietnam	Asia	5543984
CFRESH.TH	Seafresh Industry Public Co., Ltd.	Thailand	Asia	100996651
CHOTI.TH	Kiang Huat Sea Gull Trading Frozen Food Public Co. Ltd.	Thailand	Asia	42839268
CLR.CA	Clearwater Seafoods Inc.	Canada	North America	548883187
CNPF.PH	Century Pacific Food, Inc.	Philippines	Asia	1298822898
COPEC.CL	Empresas Copec S.A.	Chile	Latin America	14730479677
CPF.TH	Charoen Pokphand Foods Public Co. Ltd.	Thailand	Asia	5756339878
CPRO.ID	PT Central Proteina Prima Tbk	Indonesia	Asia	152082508
CSS.AU	Clean Seas Seafood Limited	Australia	Pacific	47808936
DANAH.KW	Danah Al Safat Foodstuff Company (K.S.C.)	Kuwait	Middle East	71017572
DARDL.TR	Dardanel Onentas Gida San. A.S.	Turkey	Middle East	30472465
DPUM.ID	PT Dua Putra Utama Makmur Tbk	Indonesia	Asia	137435448
DUNCANFOX.CL	Duncan Fox S.A.	Chile	Latin America	149735581
EXALMC1.PE	Pesquera Exalmar S.A.	Peru	Latin America	99853385
FISH.ID	PT FKS Multi Agro Tbk	Indonesia	Asia	90188137
FLOB.BE	Floridienne NV	Belgium	Europe	154280490
FMC.VN	Sao To Foods JSC	Vietnam	Asia	28657116
FNP.AU	Freedom Foods Group Limited	Australia	Pacific	729772810
FOOD.PH	Alliance Select Foods International, Inc.	Philippines	Asia	42340973
FOODCO.AE	Foodco Holding PJSC	UAE	Middle East	163344613
GRND.IS	HB Grandi hf.	Iceland	Europe	585937461
GSF.NO	Grieg Seafood ASA	Norway	Europe	791927188
HERDEZ.MX	Grupo Herdez SAB de CV	Mexico	Latin America	938857743
HLF.CA	High Liner Foods Incorporated	Canada	North America	417590348
HUE.CH	Hugli Holding AG	Switzerland	Europe	400285741
HUO.AU	Huon Aquaculture Group Ltd.	Australia	Pacific	328566028
HVG.VN	Hung Vuong Corporation	Vietnam	Asia	65261302
ICESEA.IS	Iceland Seafood International ehf	Iceland	Europe	79369450
IDI.VN	IDI International Development & Investment Corp.	Vietnam	Asia	51700489
IHC.AE	International Holding Company PJSC	UAE	Middle East	201322236
IIKP.ID	PT Inti Agri Resources Tbk Class A	Indonesia	Asia	757580354
INVERMAR.CL	Invermar S.A.	Chile	Latin America	231510634
JPFA.ID	PT Japfa Comfeed Indonesia Tbk Class A	Indonesia	Asia	1166306315
LSG.NO	Leroy Seafood Group ASA	Norway	Europe	3267592527
MCA.AU	Murray Cod Australia Limited	Australia	Pacific	15226715
MHG.NO	Marine Harvest ASA	Norway	Europe	8447552167
MRFG3.BR	Marfrig Alimentos SA	Brazil	Latin America	1237776465
MTM.AU	Mareterram Limited	Australia	Pacific	29573912
MULTIFOODS.CL	Multiexport Foods S.A.	Chile	Latin America	497172491
NESN.CH	Nestle S.A.	Switzerland	Europe	2,74482E+11
NGEY.US	New Global Energy, Inc.	US	North America	1030369
NIR.GR	Nireus SA	Greece	Europe	87042675
NLM.DE	FRoSTA AG	Germany	Europe	509560036
NOMD.US	Nomad Foods Ltd.	US	North America	2553792924
NRS.NO	Norway Royal Salmon ASA	Norway	Europe	697874443
NTO.IL	Neto M.E. Holdings Ltd	Israel	Middle East	403404713
NZK.NZ	New Zealand King Salmon Investments Ltd.	New Zealand	Pacific	157649022
OCE.ZA	Oceana Group Limited	South Africa	Africa	965496037
OME.US	Omega Protein Corporation	US	North America	390468754
ORK.NO	Orkla ASA	Norway	Europe	10225417601
ORON.CH	ORIOR AG	Switzerland	Europe	463689010
PME.US	Pingtan Marine Enterprise Ltd.	US	North America	312267459
PVA.ES	Pescanova, S.A.	Spain	Europe	31325938
SALM.NO	SalMar ASA	Norway	Europe	2906151431
SAN.NZ	Sanford Limited	New Zealand	Pacific	474975693
SCHO.DK	Schouw & Co A/S	Denmark	Europe	5077385932
SEK.PL	SEKO S.A.	Poland	Europe	12660369
SELO.GR	Selonda Aquaculture SA	Greece	Europe	61500809
SIAF.US	Sino Agro Food, Inc.	US	North America	56386368
SKBM.ID	PT Sekar Bumi Tbk	Indonesia	Asia	75238091
SORKON.TH	S. Khonkaen Foods Public Co. Ltd.	Thailand	Asia	62129746
SSC.NO	Scottish Salmon Company Plc	Norway	Europe	215208492
SSF.TH	Surapon Foods Public Co. Ltd.	Thailand	Asia	97779162
TGR.AU	Tassal Group Limited	Australia	Pacific	491243269
TLUXE.TH	Thailuxe Enterprises Public Co., Ltd.	Thailand	Asia	179040092
TU.TH	Thai Union Group Public Company Limited	Thailand	Asia	3020655147
VHC.VN	Vinh Hoan Corp	Vietnam	Asia	238802728
WILC.US	G. Willi-Food International Ltd	US	North America	96658665
WLFD.IL	Willy Food Investments Ltd.	Israel	Middle East	72265838
X000798.CN	CNFC Overseas Fishery Co., Ltd. Class A	China	Asia	417089472
X002069.CN	Zoneco Group Co., Ltd. Class A	China	Asia	952361166
X002086.CN	Shandong Oriental Ocean Sci-Tech Co., Ltd Class A	China	Asia	1245771552
X002124.CN	Tech-bank Food Co., Ltd.	China	Asia	970931773
X002220.CN	Dalian Tianbao Green Foods Co., Ltd. Class A	China	Asia	677991685
X002447.CN	Dalian Yi Qiao Sea Cucumber Co., Ltd. Class A	China	Asia	1253296094
X002696.CN	Baiyang Investment Group, Inc. Class A	China	Asia	537035748
X003680.KR	Hansung Enterprise Co., Ltd	South Korea	Asia	36817800
X003960.KR	Sajodaerim Corporation	South Korea	Asia	134762052
X004970.KR	Silla Co., Ltd	South Korea	Asia	211133708
X006040.KR	Dongwon Industries Co., Ltd	South Korea	Asia	940862476
X006090.KR	Oyang Corporation	South Korea	Asia	126413466
X006980.KR	Woosung Feed Co., Ltd.	South Korea	Asia	88074426
X007160.KR	Sajo Industries Co., Ltd	South Korea	Asia	347490895
X0098.MY	Borneo Aqua Harvest Bhd.	Malaysia	Asia	103507154
X011150.KR	CJ Seafood Corporation	South Korea	Asia	104626305
X030720.KR	Dongwon Fisheries Co., Ltd	South Korea	Asia	30963471
X049770.KR	Dongwon F & B Co., Ltd.	South Korea	Asia	796118863
X1216.TW	Uni-President Enterprises Corp.	Taiwan	Asia	11426652195
X1231.TW	Lian Hwa Foods Corporation	Taiwan	Asia	180829709
X1235.TW	Shin Tai Industry Co. Ltd.	Taiwan	Asia	57596805
X1301.JP	Kyokuyo Co., Ltd.	Japan	Asia	301916028
X1332.JP	Nippon Suisan Kaisha, Ltd.	Japan	Asia	1868997175
X1333.JP	Maruha Nichiro Corp.	Japan	Asia	1424102936
X200992.CN	Shandong Zhonglu Oceanic Fisheries Co Ltd Class B	China	Asia	163412661
X2058.JP	Higashimaru Co., Ltd.	Japan	Asia	43734300
X2060.JP	FEED ONE CO. LTD.	Japan	Asia	415396167
X2286.JP	Hayashikane Sangyo Co., Ltd.	Japan	Asia	67104674
X2683.JP	Uoki Co., Ltd.	Japan	Asia	37079209
X2768.JP	Sojitz Corp.	Japan	Asia	2969994351
X2831.JP	Hagoromo Foods Corporation	Japan	Asia	245221205
X2871.JP	Nichirei Corporation	Japan	Asia	4172729852
X2874.JP	Yokohama Reito Co., Ltd.	Japan	Asia	503819201
X2875.JP	Toyo Suisan Kaisha, Ltd.	Japan	Asia	4344246224
X2904.JP	Ichimasa Kamaboko Co., Ltd.	Japan	Asia	228075705
X2907.JP	AHJIKAN CO., LTD.	Japan	Asia	84125881
X2922.JP	Natori Co., Ltd.	Japan	Asia	290908654
X300094.CN	Zhanjiang Guolian Aquatic Products Co., Ltd. Class A	China	Asia	836606962
X3004.JP	Shinyei Kaisha	Japan	Asia	59932302
X3067.JP	Tokyo Ichiban Foods Co., Ltd.	Japan	Asia	45483749
X3306.JP	NIHON SEIMA CO., LTD.	Japan	Asia	14671438
X43.HK	CP Pokphand Co. Ltd.	Hong Kong	Asia	1759285205
X523660.IN	Waterbase Limited	India	Asia	52244024
X5ML.SG	Old Chang Kee Ltd.	Singapore	Asia	73425927
X600097.CN	Shanghai Kaichuang Marine International Co., Ltd. Class A	China	Asia	530812358
X600438.CN	Tongwei Co. Ltd. Class A	China	Asia	3173051034
X600467.CN	Shandong Homey Aquatic Development Co., Ltd. Class A	China	Asia	734809976
X603288.CN	Foshan Haitian Flavouring & Food Co., Ltd. Class A	China	Asia	16266201285
X603777.CN	Shanghai Laiyifen Co Ltd Class A	China	Asia	1301475969
X6050.SA	Saudi Fisheries Co.	Saudi Arabia	Middle East	136171071
X6090.SA	Jazan Development Co.	Saudi Arabia	Middle East	187675086
X7035.MY	CCK Consolidated Holdings Bhd.	Malaysia	Asia	64918012
X7084.MY	QL Resources Bhd.	Malaysia	Asia	1419825951
X7443.JP	Yokohama Gyorui Co., Ltd.	Japan	Asia	30980784
X7475.JP	ALBIS Co., Ltd.	Japan	Asia	371698764
X7538.JP	Daisui Co., Ltd.	Japan	Asia	32813050
X7559.JP	Global Food Creators Co., Ltd.	Japan	Asia	67162364
X7596.JP	Uoriki Co., Ltd.	Japan	Asia	162741221
X8001.JP	Itochu Corporation	Japan	Asia	24131898836
X8002.JP	Marubeni Corporation	Japan	Asia	10740539579
X8030.JP	Chuo Gyorui Co., Ltd.	Japan	Asia	112069661
X8031.JP	Mitsui & Co.,Ltd	Japan	Asia	24542676176
X8038.JP	Tohto Suisan Co., Ltd.	Japan	Asia	67925640
X8039.JP	Tsukiji Uoichiba Company, Limited	Japan	Asia	25722518
X8041.JP	OUG Holdings Inc.	Japan	Asia	130008985
X8045.JP	Yokohama Maruuo Co., Ltd.	Japan	Asia	35896889
X8058.JP	Mitsubishi Corporation	Japan	Asia	32217050024
X8091.JP	NICHIMO CO., LTD.	Japan	Asia	60033479
X8145.JP	Chubu Suisan Co., Ltd.	Japan	Asia	45210524
X8228.JP	Maruichi Co., Ltd.	Japan	Asia	208090256
X834.HK	China Kangda Food Co. Ltd.	Singapore	Asia	109130405
X9955.JP	Yonkyu Co., Ltd.	Japan	Asia	132154104
X9996.JP	Satoh & Co., Ltd.	Japan	Asia	99504824
