Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Kyokuyo Co., Ltd.	Kyokuyo Business Association	Asia	Non-financial corporation
Higashimaru Co., Ltd.	Higashimaru Business Association	Asia	Non-financial corporation
Hagoromo Foods Corp.	Hagoromo Foods Business Association	Asia	Non-financial corporation
AHJIKAN CO., LTD.	Ahjikan Sanei Business Association	Asia	Non-financial corporation
Natori Co., Ltd.	Natori Business Association	Asia	Non-financial corporation
ALBIS Co., Ltd.	Albis Business Association	Asia	Non-financial corporation
Global Food Creators Co., Ltd.	Global Food Creators Business Association	Asia	Non-financial corporation
NICHIMO CO., LTD.	Nichimo Business Association	Asia	Non-financial corporation
Maruichi Co., Ltd.	Maruichi Business Association	Asia	Non-financial corporation
Satoh & Co., Ltd.	Satoh & Co Business Association	Asia	Non-financial corporation
AVI Ltd.	AVI Ltd. Executive Share Purchase Trust	Africa	Non-financial corporation
Oceana Group Ltd.	Oceana Group Share Trust	Africa	Non-financial corporation
Oceana Group Ltd.	Oceana Empowerment Trust	Africa	Non-financial corporation
Zoneco Group Co., Ltd.	Zoneco Group Co. Ltd. ESOP	Asia	Non-financial corporation
Shandong Oriental Ocean Sci-Tech Co., Ltd.	Shandong Oriental Ocean Sci Tech Co. Ltd. ESOP	Asia	Non-financial corporation
Baiyang Investment Group, Inc.	Baiyang Investment Group, Inc. ESOP	Asia	Non-financial corporation
Silla Co., Ltd.	Silla Co., Ltd. Employee Stock Ownership Association	Asia	Non-financial corporation
Higashimaru Co., Ltd.	Higashimaru Employee Stock Ownership Plan	Asia	Non-financial corporation
Uoki Co., Ltd.	Uoki Employee Stock Ownership Plan	Asia	Non-financial corporation
Hagoromo Foods Corp.	Hagoromo Foods Employee Stock Ownership Plan	Asia	Non-financial corporation
Yokohama Reito Co., Ltd.	Yokohama Reito Employee Stock Ownership Plan	Asia	Non-financial corporation
Toyo Suisan Kaisha, Ltd.	Toyo Suisan Kaisha Employee Stock Onwership Plan	Asia	Non-financial corporation
AHJIKAN CO., LTD.	Ahjikan Employee Stock Ownership Plan	Asia	Non-financial corporation
Natori Co., Ltd.	Natori Employee Stock Ownership Plan	Asia	Non-financial corporation
Tokyo Ichiban Foods Co., Ltd.	Tokyo Ichiban Foods Employee Stock Ownership Plan	Asia	Non-financial corporation
Yokohama Gyorui Co., Ltd.	Yokohama Gyorui Employee Stock Ownership Plan	Asia	Non-financial corporation
ALBIS Co., Ltd.	Albis Employee Stock Ownership Plan	Asia	Non-financial corporation
Daisui Co., Ltd.	Daisui Employee Stock Ownership Plan	Asia	Non-financial corporation
Global Food Creators Co., Ltd.	Global Food Creators Employee Stock Ownership Plan	Asia	Non-financial corporation
Uoriki Co., Ltd.	Uoriki Employee Stock Ownership Plan	Asia	Non-financial corporation
Tsukiji Uoichiba Co., Ltd.	Tsukiji Uoichiba Employeee Stock Ownership Plan	Asia	Non-financial corporation
OUG Holdings, Inc.	Oug Holdings Employee Stock Ownership Plan	Asia	Non-financial corporation
Yokohama Maruuo Co., Ltd.	Yokohama Maruuo Employee Stock Ownership Plan	Asia	Non-financial corporation
NICHIMO CO., LTD.	Nichimo Employee Stock Ownership Plan	Asia	Non-financial corporation
Yonkyu Co., Ltd.	Yonkyu Restricted Stock Compensation Plan	Asia	Non-financial corporation
Satoh & Co., Ltd.	Satoh & Co Employee Stock Ownership Plan	Asia	Non-financial corporation
Century Pacific Group, Inc.	Century Pacific Group, Inc.	Asia	Non-financial corporation
Algina Inversiones SA	Algina Inversiones SA	Latin America	Non-financial corporation
Hvalur hf	Hvalur hf	Europe	Non-financial corporation
PT Multi Karya Sejati	PT Multi Karya Sejati	Asia	Non-financial corporation
Dongwon Enterprise Co., Ltd.	Dongwon Enterprise Co., Ltd.	Asia	Non-financial corporation
Holley Group Co. Ltd.	Holley Group Co. Ltd.	Asia	Non-financial corporation
Jiangsu Shuangliang Technology Co., Ltd.	Jiangsu Shuangliang Technology Co., Ltd.	Asia	Non-financial corporation
Zhuozhou Jingnan Yongle Golf Club Co. Ltd.	Zhuozhou Jingnan Yongle Golf Club Co. Ltd.	Asia	Non-financial corporation
Oakbay Investments (Pty) Ltd.	Oakbay Investments (Pty) Ltd.	Africa	Non-financial corporation
DH Brothers Industries (Pty) Ltd.	DH Brothers Industries (Pty) Ltd.	Africa	Non-financial corporation
CentraGruppen AS	CentraGruppen AS	Europe	Non-financial corporation
Inversiones Patagonia SA	Inversiones Patagonia SA	Latin America	Non-financial corporation
Coop Genossenschaft	Coop Genossenschaft	Europe	Non-financial corporation
LP Huguenot Investments (Pty) Ltd.	LP Huguenot Investments (Pty) Ltd.	Africa	Non-financial corporation
Rembrandt Trust Pty Ltd.	Rembrandt Trust Pty Ltd.	Africa	Non-financial corporation
H'ng Kim Chang & Sons Sdn. Bhd.	H'ng Kim Chang & Sons Sdn. Bhd.	Asia	Non-financial corporation
Clearwater Fine Foods, Inc.	Clearwater Fine Foods, Inc.	North America	Non-financial corporation
Rdlk Pty Ltd.	Rdlk Pty Ltd.	Pacific	Non-financial corporation
J.R. Simplot Co.	J.R. Simplot Co.	North America	Non-financial corporation
4 Eyes Ltd.	4 Eyes Ltd.	Europe	Non-financial corporation
Walpole Enterprises Pty Ltd.	Walpole Enterprises Pty Ltd.	Pacific	Non-financial corporation
Yong International Investments Pty Ltd.	Yong International Investments Pty Ltd.	Pacific	Non-financial corporation
Al-Safwa Group Holding Co.	Al-Safwa Group Holding Co.	Middle East	Non-financial corporation
PT Pandawa Putra Investama	PT Pandawa Putra Investama	Asia	Non-financial corporation
Beluflo SA	Beluflo SA	Europe	Non-financial corporation
Marnor NV	Marnor NV	Europe	Non-financial corporation
Ali & Sons Co. LLC	Ali & Sons Co. LLC	Middle East	Non-financial corporation
Eignarhaldsfelagia Vgj ehf	Eignarhaldsfelagia Vgj ehf	Europe	Non-financial corporation
Thornridge Holdings Ltd.	Thornridge Holdings Ltd.	North America	Non-financial corporation
9 S ehf	9 S ehf	Europe	Non-financial corporation
Powerhouse Group	Powerhouse Group	Middle East	Non-financial corporation
Infinity TV FZ LLC	Infinity TV FZ LLC	Middle East	Non-financial corporation
Royal Group (United Arab Emirates)	Royal Group (United Arab Emirates)	Middle East	Non-financial corporation
PT Maxima Agro Industri	PT Maxima Agro Industri	Asia	Non-financial corporation
PT Atria Axes Management	PT Atria Axes Management	Asia	Non-financial corporation
Alimentos Marinos SA	Alimentos Marinos SA	Latin America	Non-financial corporation
Multiexport SA	Multiexport SA	Latin America	Non-financial corporation
Multiexport Dos SA	Multiexport Dos SA	Latin America	Non-financial corporation
Mariposa Acquisition ll LLC	Mariposa Acquisition ll LLC	North America	Non-financial corporation
Toms Acquisition I LLC	Toms Acquisition I LLC	North America	Non-financial corporation
Hellesund Fiskeoppdrett AS	Hellesund Fiskeoppdrett AS	Europe	Non-financial corporation
Havbruksinvest AS	Havbruksinvest AS	Europe	Non-financial corporation
Masoval Fishfarm AS	Masoval Fishfarm AS	Europe	Non-financial corporation
Meir Ezra Holdings Ltd.	Meir Ezra Holdings Ltd.	Middle East	Non-financial corporation
Stately Horse Properties CC	Stately Horse Properties CC	Africa	Non-financial corporation
Oceana Brands Ltd.	Oceana Brands Ltd.	Africa	Non-financial corporation
Silicon Metals Holdings LLC	Silicon Metals Holdings LLC	Europe	Non-financial corporation
3640 Ltd.	3640 Ltd.	Pacific	Non-financial corporation
Vela Holdings Ltd.	Vela Holdings Ltd.	Pacific	Non-financial corporation
Maruha Corp. Ltd.	Maruha Corp. Ltd.	Pacific	Non-financial corporation
Direktor Svend Hornsylds Legat	Direktor Svend Hornsylds Legat	Europe	Non-financial corporation
Arrowman Ltd.	Arrowman Ltd.	Asia	Non-financial corporation
Kykuit Pty Ltd.	Kykuit Pty Ltd.	Pacific	Non-financial corporation
Brazil Farming Pty Ltd.	Brazil Farming Pty Ltd.	Pacific	Non-financial corporation
Rasin Holdings Pty Ltd.	Rasin Holdings Pty Ltd.	Pacific	Non-financial corporation
P Sat Corp. Co. Ltd.	P Sat Corp. Co. Ltd.	Asia	Non-financial corporation
Cube Co. Ltd.	Cube Co. Ltd.	Asia	Non-financial corporation
Thailand Asanee Line Trading Co.	Thailand Asanee Line Trading Co.	Asia	Non-financial corporation
Grinling International Ltd.	Grinling International Ltd.	Asia	Non-financial corporation
Changhai Zhangzidao Dalian Economic Development Center	Changhai Zhangzidao Dalian Economic Development Center	Asia	Non-financial corporation
Changhai Zhangzi Island Investment & Development Center	Changhai Zhangzi Island Investment & Development Center	Asia	Non-financial corporation
Changhai County Zhangzidao Dahao Economic Development Center	Changhai County Zhangzidao Dahao Economic Development Center	Asia	Non-financial corporation
Yantai Baowei Electronics Co. Ltd.	Yantai Baowei Electronics Co. Ltd.	Asia	Non-financial corporation
Shandong Oriental Ocean Group Co. Ltd.	Shandong Oriental Ocean Group Co. Ltd.	Asia	Non-financial corporation
Gionee Communication Equipment Co. Ltd.	Gionee Communication Equipment Co. Ltd.	Asia	Non-financial corporation
Castlex Jeju Golf Club Co., Ltd.	Castlex Jeju Golf Club Co., Ltd.	Asia	Non-financial corporation
Silla Holdings Co., Ltd.	Silla Holdings Co., Ltd.	Asia	Non-financial corporation
Woosung Co., Ltd.	Woosung Co., Ltd.	Asia	Non-financial corporation
Woosung Transportation Co., Ltd.	Woosung Transportation Co., Ltd.	Asia	Non-financial corporation
Sajo B&M	Sajo B&M	Asia	Non-financial corporation
Crownfield Ventures Ltd.	Crownfield Ventures Ltd.	Europe	Non-financial corporation
Marlex Trading Ltd.	Marlex Trading Ltd.	Asia	Non-financial corporation
Daitoh Trading Co., Ltd.	Daitoh Trading Co., Ltd.	Asia	Non-financial corporation
Matsuoka Co., Ltd.	Matsuoka Co., Ltd.	Asia	Non-financial corporation
Shizuoka Sangyosha KK	Shizuoka Sangyosha KK	Asia	Non-financial corporation
Banjo Foods Co. Ltd.	Banjo Foods Co. Ltd.	Asia	Non-financial corporation
Enomoto Buhei Shoten KK	Enomoto Buhei Shoten KK	Asia	Non-financial corporation
Kiuchi Construction Co., Ltd.	Kiuchi Construction Co., Ltd.	Asia	Non-financial corporation
Hachoko Co.	Hachoko Co.	Asia	Non-financial corporation
Yokohama Shinko Co., Ltd.	Yokohama Shinko Co., Ltd.	Asia	Non-financial corporation
Hiroshima Nori Co., Ltd.	Hiroshima Nori Co., Ltd.	Asia	Non-financial corporation
Argent Wise Co. Ltd.	Argent Wise Co. Ltd.	Asia	Non-financial corporation
TOWERBASE SERVICES PVT LTD	TOWERBASE SERVICES PVT LTD	Asia	Non-financial corporation
INDO OCEANIC INVESTMENTS	INDO OCEANIC INVESTMENTS	Asia	Non-financial corporation
Beijing Makalu Investment Co. Ltd.	Beijing Makalu Investment Co. Ltd.	Asia	Non-financial corporation
Beijing Zhuhai Technology Incubator Ltd.	Beijing Zhuhai Technology Incubator Ltd.	Asia	Non-financial corporation
Cuckoo Beijing Science & Technology Development Co. Ltd.	Cuckoo Beijing Science & Technology Development Co. Ltd.	Asia	Non-financial corporation
Shanghai Hongxin Industrial Co. Ltd.	Shanghai Hongxin Industrial Co. Ltd.	Asia	Non-financial corporation
Sichuan Giant Star Enterprise Group Co. Ltd.	Sichuan Giant Star Enterprise Group Co. Ltd.	Asia	Non-financial corporation
Jiangyin Quanshun Automobile Co. Ltd.	Jiangyin Quanshun Automobile Co. Ltd.	Asia	Non-financial corporation
Leshan Chuanyong Corp. Mgmt Consulting Co. Ltd.	Leshan Chuanyong Corp. Mgmt Consulting Co. Ltd.	Asia	Non-financial corporation
Shandong Qiu Family Industrial Co. Ltd.	Shandong Qiu Family Industrial Co. Ltd.	Asia	Non-financial corporation
Jiangsu Yimei Lighting Technology Co. Ltd.	Jiangsu Yimei Lighting Technology Co. Ltd.	Asia	Non-financial corporation
S K Tiong Enterprise Sdn. Bhd.	S K Tiong Enterprise Sdn. Bhd.	Asia	Non-financial corporation
Chong Nyuk Kiong Enterprise Sdn. Bhd.	Chong Nyuk Kiong Enterprise Sdn. Bhd.	Asia	Non-financial corporation
Central Coldstorage Sarawak Sdn. Bhd.	Central Coldstorage Sarawak Sdn. Bhd.	Asia	Non-financial corporation
CBG Holdings Sdn. Bhd.	CBG Holdings Sdn. Bhd.	Asia	Non-financial corporation
